Product-Category,Sugar_Content (%),Fat_Content (%),Calories_per_Serving,Sodium_Content (mg),Protein_Content (g),Fiber_Content (g),Health_Rating
Dairy,32.9127814887666,26.0536595254194,829.562199857941,406.70344678234,3.71657756801729,14.1374569108688,1.9
Snacks,52.0995345916469,17.5101495545365,422.65368944737,371.415638232845,48.8684530388818,12.7124272946401,2.7
Dairy,61.0282945281185,33.8736707411737,475.174262350759,330.795532979633,42.179347279677,2.96695725837945,1.8
Dairy,30.3558733769472,37.9250940458195,743.501635026818,118.168295134376,8.91250719789817,15.3224350269026,2.1
Snacks,3.05631603951528,0.731412943883786,389.867025129029,48.928501358225,45.2302626556435,1.36695236379382,4
Snacks,11.3170780902762,10.3621149884439,110.705894945955,288.079664912983,17.0333410410872,16.5279754748927,3.6
Dairy,1.46027975040767,35.6617934041668,120.617878441768,276.838916769717,18.8555992267222,5.23858489696458,2.9
Beverages,45.7284113466131,19.3310086316917,159.594661240419,94.1925046674365,45.319574118108,13.7770372460133,3.3
Dairy,23.2620237748576,33.1241973470804,876.19725717648,28.1233471575862,26.5057782517658,18.4737868204374,2.7
Dairy,37.9735045003557,17.3481329867279,498.615104468394,40.354227096993,6.88814646992598,6.79654049346898,2.5
Dairy,34.529379274866,19.5377576164819,727.2382508775,496.385493256367,18.4528079670902,10.0578815588084,2.1
Dairy,5.70685426866987,7.93394368448425,423.263868824649,391.791947371442,36.104872313394,9.26236067900901,3.5
Snacks,28.2282952786682,12.911550983308,295.775400044853,460.993737982586,8.70920940340084,3.15222698125736,2.4
Dairy,15.4392787445626,30.2705878753794,379.832559184101,97.5273611181817,29.5115598703179,11.8062402098152,3.1
Beverages,29.2879852067357,21.6581555657583,804.473228051324,480.284268161718,34.7637066472208,14.860038370419,2.5
Snacks,14.250479623957,38.7151341472298,643.955318779866,71.327175736581,17.192678777129,18.3374965784764,2.7
Beverages,58.8316684393853,42.6292477469171,940.757790960007,254.540914283236,34.6940344354161,17.0160520329903,1.6
Beverages,12.1935335604778,27.082320910838,695.719539647992,414.847842208532,44.2103675914659,10.2003875945606,2.8
Beverages,67.2546386040884,37.913364602803,591.672550166959,174.90167725579,23.605837211662,14.3803430902387,1.7
Beverages,29.1135156302859,15.3452256597285,629.686208536543,212.41426658845,19.1454664089893,16.0156682674779,2.8
Snacks,59.2371704413335,20.7485607700039,945.252867494994,64.0925551495489,12.5579200679143,9.86977427476698,1.8
Snacks,44.0135372744162,35.6388838108416,798.790883373371,61.4609399994864,30.2102739931652,2.30855121408536,1.9
Beverages,51.4745209066027,19.3105996408515,72.8391754981159,309.78411238933,43.9926024019358,8.75861527694742,2.9
Beverages,53.7406721646746,29.4252467579494,557.432711328912,337.766184310028,16.2330633592597,16.8495607640313,2
